1	171	234500	234500	2	847
1	171	235116	235116	3	616
1	171	256957	259114	4	21841
1	172	233891	233891	1	0
1	173	236095	236095	1	0
1	173	236456	236456	2	361
1	173	236926	236926	3	470
1	173	238119	238119	4	1193
1	173	239425	239425	5	1306
1	173	244342	244342	6	4917
1	173	245896	245903	7	1554
1	173	246619	246619	8	716
1	173	249094	249216	9	2475
1	173	249563	249563	10	347
1	173	251243	251243	11	1680
1	173	251707	251707	12	464
1	174	236456	236456	1	0
1	174	239546	239546	2	3090
1	174	305833	306207	3	66287
1	175	237399	237399	1	0
1	175	245551	245780	2	8152
1	175	245903	246264	3	123
1	175	246847	246847	4	583
1	175	247684	247684	5	837
1	175	248615	248615	6	931
1	175	249337	249563	7	722
1	175	252416	252532	8	2853
1	175	254338	254466	9	1806
1	175	255062	255062	10	596
1	175	255430	255430	11	368
1	175	255772	255772	12	342
1	175	255894	255894	13	122
1	175	256138	256138	14	244
1	175	256836	256836	15	698
1	176	237399	237399	1	0
1	177	237522	237522	1	0
1	178	238827	238827	1	0
1	178	239546	239546	2	719
1	178	240029	240271	3	483
1	179	241434	241434	1	0
1	180	243500	243995	1	0
1	180	244116	245060	2	121
1	181	244342	244342	1	0
1	182	246619	246619	1	0
1	182	251469	251469	2	4850
1	182	256481	256836	3	5012
1	183	255062	255062	1	0
1	184	259808	259808	1	0
1	185	300576	300576	1	0
1	186	302854	302854	1	0
1	187	308854	308854	1	0
1	3503	188219	188360	1	0
2	6	68725	68725	1	0
2	6	69292	69765	2	567
2	6	70125	70125	3	360
2	6	70368	71207	4	243
2	6	71659	72134	5	452
2	6	72748	73095	6	614
2	6	73592	73592	7	497
2	6	74070	74562	8	478
2	6	75676	76187	9	1114
2	6	78209	78351	10	2022
2	6	79208	79208	11	857
2	6	79590	79701	12	382
2	6	80055	80298	13	354
2	6	80898	80898	14	600
2	6	81139	81139	15	241
2	6	81398	81398	16	259
2	6	81530	81658	17	132
2	6	82264	82486	18	606
2	6	82844	82844	19	358
2	6	84916	84916	20	2072
2	6	85396	85507	21	480
2	6	85982	86106	22	475
2	6	87380	87607	23	1274
2	6	88561	88561	24	954
2	6	88814	88814	25	253
2	6	90246	90246	26	1432
2	6	90714	90714	27	468
2	6	91072	91072	28	358
2	6	91201	91433	29	129
2	6	91689	92655	30	256
2	6	93014	94222	31	359
2	6	94355	94355	32	133
2	6	94714	94714	33	359
2	6	95087	95333	34	373
2	6	95730	95737	35	397
2	6	96102	96471	36	365
2	6	96726	97098	37	255
2	6	97326	97326	38	228
2	6	97686	97686	39	360
2	6	97935	99963	40	249
2	6	100312	100794	41	349
2	6	100922	101048	42	128
2	6	101175	102505	43	127
2	6	102759	103230	44	254
2	6	103581	107257	45	351
2	6	107651	107651	46	394
2	6	107789	109774	47	138
2	6	110016	110354	48	242
2	6	110704	115736	49	350
