1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	100 0
73	51 78 100 0
74	31 41 49 64 66 84 93 100 0
75	27 31 41 42 44 46 49 51 52 53 63 64 66 73 81 84 86 90 93 100 0
76	13 25 31 44 47 49 51 52 57 59 60 66 72 84 90 93 98 100 0
77	13 16 25 30 31 36 39 44 47 51 57 59 60 61 71 72 83 84 90 98 100 0
78	13 16 25 30 31 32 38 39 40 42 43 44 47 51 52 57 59 60 63 66 71 75 76 80 83 84 93 98 100 0
79	13 16 17 25 30 32 35 38 40 42 44 47 57 59 60 63 71 76 78 80 83 84 98 0
80	13 16 17 23 25 30 32 37 38 42 44 45 57 63 66 76 78 80 83 84 91 93 0
81	13 16 17 25 32 35 37 40 44 54 57 63 67 76 78 80 83 91 0
82	13 16 17 23 25 32 35 37 40 44 45 63 66 69 76 78 80 83 93 0
83	13 16 17 25 35 67 69 76 80 0
84	13 16 17 45 61 67 69 76 93 0
85	4 13 17 23 45 61 67 69 76 85 0
86	4 13 17 45 67 69 76 93 0
87	13 17 18 23 45 67 69 85 93 0
88	18 23 45 67 69 85 0
89	18 23 45 67 0
90	18 23 45 54 67 0
91	18 19 21 23 45 67 68 69 85 0
92	18 23 45 54 67 68 85 91 93 0
93	1 18 23 45 67 69 91 92 93 0
94	5 18 23 29 45 53 54 67 82 92 93 96 0
95	5 23 45 53 67 69 82 85 92 96 0
96	1 5 20 23 29 45 53 67 69 82 92 96 100 0
97	5 20 23 29 34 45 53 67 82 85 92 93 96 0
98	5 19 20 23 29 34 40 45 49 53 54 67 69 85 91 92 93 96 0
99	5 20 23 29 34 40 45 49 67 69 91 93 0
100	5 23 29 34 40 45 49 67 69 74 86 91 93 0
